"To address your open bite, we might consider using a combination of a quad-helix appliance and braces. The quad-helix appliance will help expand your upper arch, which is often necessary in cases of anterior open bites. Subsequently, braces will align and close any remaining gaps, ensuring your teeth meet correctly when you bite down."	"열린 교합을 해결하기 위해 쿼드 헬릭스 장치와 교정기의 조합을 고려할 수 있습니다. 쿼드 헬릭스 장치는 종종 전방 열린 교합 사례에서 필요한 상악 확장을 도울 것입니다. 이후 교정기가 남아 있는 틈을 정렬하고 닫아, 교합시 치아가 올바르게 맞물리도록 할 것입니다."
"For enhanced precision in your treatment planning, we'll utilize the Cone Beam CT technology. This 3D imaging system will provide detailed views of your teeth, jawbone, and surrounding structures, allowing us to create a more accurate and effective treatment plan, particularly useful for preparing for orthognathic surgery."	"치료 계획의 정밀도를 높이기 위해 콘빔 CT 기술을 활용할 것입니다. 이 3D 이미징 시스템은 치아, 턱뼈, 주변 구조의 자세한 이미지를 제공하여, 특히 교정 수술을 준비하는 데 유용한 더 정확하고 효과적인 치료 계획을 세울 수 있게 할 것입니다."
"Since you're concerned about the visibility of your orthodontic treatment, I recommend considering lingual braces. These are attached to the inside of your teeth, making them virtually invisible from the outside. They're an excellent option for adults and professionals who are seeking less noticeable orthodontic solutions."	"교정 치료의 가시성이 걱정된다면, 설측 교정기를 고려해 볼 것을 추천합니다. 이 교정기는 치아의 안쪽에 부착되어 외부에서 거의 보이지 않습니다. 눈에 덜 띄는 교정 솔루션을 찾는 성인과 전문직 종사자에게 탁월한 옵션입니다."
"To assist in the fitting of your Invisalign aligners, we'll use an intraoral scanner to take precise digital impressions of your teeth. This technology avoids the discomfort of traditional gooey molds and increases the accuracy of the aligners, ensuring they fit perfectly and move your teeth efficiently."	Invisalign 교정기를 착용하는 데 도움이 되도록 구강 내 스캐너를 사용하여 치아의 정밀한 디지털 인상을 취할 것입니다. 이 기술은 전통적인 끈적한 모형의 불편함을 피하고 교정기의 정확성을 높여 완벽하게 맞고 효율적으로 치아를 움직일 수 있도록 합니다.
"With your Class III malocclusion, where your lower teeth and jaw are positioned ahead of your upper teeth, a corrective approach might involve both braces and a functional appliance like the Herbst appliance. This combination helps to adjust the position of the jaw, aligning it more effectively with the upper jaw to improve your bite and facial aesthetics."	"하악과 치아가 상악보다 앞에 위치한 귀하의 3급 부정교합의 경우, 교정기와 Herbst 장치와 같은 기능성 장치를 모두 사용하는 교정 접근 방법이 필요할 수 있습니다. 이 조합은 턱의 위치를 조정하여 상악과 더 효과적으로 정렬시켜 교합과 얼굴 미학을 개선하는 데 도움이 됩니다."
"If you're active in sports, I highly recommend getting a custom-fitted mouthguard. Not only will it protect your teeth and braces during physical activities, but it also minimizes the risk of injuries to your gums and soft tissues inside the mouth. A properly fitted mouthguard is essential for anyone wearing braces and engaging in contact sports."	"스포츠 활동을 활발히 하는 경우, 맞춤형 마우스가드를 강력히 추천합니다. 이것은 신체 활동 중 치아와 교정기를 보호할 뿐만 아니라 입 안의 잇몸과 연조직의 부상 위험도 최소화합니다. 접촉 스포츠에 참여하는 교정기 착용자에게 적절하게 맞는 마우스가드는 필수입니다."
"To address the overcrowding of your lower teeth, we'll use Damon braces. These self-ligating braces help align teeth faster and with less discomfort because they don't require elastic ties."	하악의 치아 과잉을 해결하기 위해 데몬 교정기를 사용할 것입니다. 이 자동 결찰 교정기는 탄성 밴드가 필요 없어 더 빠르고 편안하게 치아를 정렬할 수 있습니다.
"For the diastema between your front teeth, clear aligners could be an effective solution. They're less noticeable and can gradually close the gap without the look of traditional braces."	"앞니 사이의 공간(디아스테마)을 위해, 투명 교정기가 효과적인 해결책이 될 수 있습니다. 덜 눈에 띄며 전통적인 교정기의 모습 없이 점차적으로 틈을 메울 수 있습니다."
We'll use a Cone Beam CT scan to get a precise 3D image of your jaw and teeth. This advanced imaging is crucial for planning your orthognathic surgery accurately.	턱과 치아의 정밀한 3D 이미지를 얻기 위해 콘빔 CT 스캔을 사용할 것입니다. 이 고급 이미징은 교정 수술 계획을 정확하게 세우는 데 매우 중요합니다.
"To correct your open bite, we're considering a two-phase treatment starting with a palatal expander. This appliance will help widen your upper jaw, setting the stage for braces to effectively align your teeth."	"열린 교합을 교정하기 위해, 구개 확장기로 시작하는 2단계 치료를 고려하고 있습니다. 이 장치는 상악을 넓히는 데 도움을 주어 교정기가 치아를 효과적으로 정렬할 수 있도록 준비합니다."
"Given your active lifestyle, a custom-fitted mouthguard is essential. It will protect both your braces and teeth during sports, preventing any potential injuries."	"활동적인 생활 방식을 고려할 때, 맞춤형 마우스가드가 필수입니다. 스포츠 활동 중 교정기와 치아를 보호하여 잠재적인 부상을 방지할 수 있습니다."
"The Herbst appliance will be used to advance your lower jaw, correcting your Class II malocclusion. It's a fixed appliance that works effectively over a short period."	Herbst 장치를 사용하여 하악을 전진시켜 2급 부정교합을 교정할 것입니다. 이는 단기간에 효과적으로 작용하는 고정 장치입니다.
Your treatment plan includes using Invisalign aligners to straighten your teeth discretely. They're virtually invisible and perfect for adult patients who prefer a less noticeable option.	치료 계획에는 Invisalign 교정기를 사용하여 눈에 띄지 않게 치아를 교정하는 것이 포함됩니다. 거의 보이지 않아 덜 눈에 띄는 옵션을 선호하는 성인 환자에게 적합합니다.
"To help close the gaps between your teeth efficiently, we'll be using a power chain on your braces. This will apply consistent pressure to bring the teeth closer together more quickly than traditional elastics."	치아 사이의 틈을 효과적으로 닫기 위해 교정기에 파워 체인을 사용할 것입니다. 이는 전통적인 탄성 밴드보다 빠르게 치아를 서로 가깝게 끌어당기기 위해 일관된 압력을 가할 것입니다.
"For your underbite, we're going to start with a lower lingual arch appliance. This will help maintain space in your dental arch and prepare your mouth for further corrective treatments."	하악 돌출을 위해 하부 설측 아치 장치로 시작할 것입니다. 이 장치는 치열 공간을 유지하고 추가적인 교정 치료를 위해 입을 준비하는 데 도움이 될 것입니다.
We recommend ceramic braces for your treatment. They are less noticeable than metal braces and work just as effectively for aligning your teeth.	치료를 위해 세라믹 교정기를 추천합니다. 이는 금속 교정기보다 덜 눈에 띄고 치아를 정렬하는 데 있어서도 마찬가지로 효과적입니다.
"To correct the protrusion of your upper front teeth, also known as an overjet, we'll need to use braces with special archwires designed to pull these teeth back gently."	"상악 전치부의 돌출, 즉 과개교합을 교정하기 위해, 이 치아를 부드럽게 뒤로 당기도록 설계된 특수 아치 와이어가 있는 교정기를 사용해야 합니다."
"For a precise fit of your aligners, we'll utilize an intraoral scanner to create digital impressions. This technology ensures a more comfortable fit and effective treatment process."	교정기의 정확한 착용을 위해 구강 내 스캐너를 사용하여 디지털 인상을 생성할 것입니다. 이 기술은 더 편안한 착용감과 효과적인 치료 과정을 보장합니다.
"To protect your teeth during sports, I highly recommend using a custom-made mouthguard. It's especially important to safeguard your orthodontic investment and prevent potential injuries."	스포츠 활동 중 치아를 보호하기 위해 맞춤형 마우스가드 사용을 강력히 추천합니다. 교정 치료에 대한 투자를 보호하고 잠재적인 부상을 예방하는 것이 특히 중요합니다.
"If you're concerned about the visibility of your orthodontic treatment, lingual braces are a great option. They are attached to the back of your teeth, making them invisible from the front."	"교정 치료의 가시성이 걱정된다면, 설측 교정기가 좋은 선택입니다. 이는 치아의 뒷면에 부착되어 앞에서는 보이지 않습니다."
"Given the complexity of your bite issue, we may consider using a combination of fixed appliances and removable aligners to achieve the best results. This dual approach allows us to target specific teeth movements more precisely."	"교합 문제의 복잡성을 고려할 때, 최상의 결과를 얻기 위해 고정 장치와 탈착식 교정기의 조합을 사용할 수 있습니다. 이러한 이중 접근 방식을 통해 특정 치아의 움직임을 더 정밀하게 조정할 수 있습니다."
"To address the excessive spacing between your teeth, we will use clear aligners. These aligners are discreet and effective, allowing us to gradually reduce the gaps without the need for traditional metal braces."	"치아 사이의 과도한 간격을 해결하기 위해 투명 교정기를 사용할 것입니다. 이 교정기는 눈에 띄지 않고 효과적으로, 전통적인 금속 교정기 없이 점차적으로 간격을 줄일 수 있습니다."
"For the deep bite correction, we'll employ a bite plate along with regular braces. The bite plate will prevent your back teeth from making contact, allowing the front teeth to move into a better position without interference."	"깊은 교합을 교정하기 위해, 일반 교정기와 함께 물림판을 사용할 것입니다. 물림판은 뒷니가 접촉하는 것을 방지하여, 앞니가 방해 없이 더 나은 위치로 이동할 수 있게 합니다."
"To enhance the precision of our orthodontic work, we'll use a 3D Cone Beam CT scan. This will give us a detailed view of your bone structure and teeth alignment, essential for complex cases like yours."	교정 작업의 정밀도를 높이기 위해 3D 콘빔 CT 스캔을 사용할 것입니다. 이는 복잡한 사례인 귀하의 경우에 필수적인 뼈 구조와 치아 정렬의 자세한 이미지를 제공할 것입니다.
"We'll install a Herbst appliance to help correct your lower jaw's backward position, which is causing your Class II malocclusion. This appliance stimulates forward growth of the lower jaw, improving your bite and profile."	"하악이 후방으로 위치하여 2급 부정교합을 유발하고 있기 때문에, 이를 교정하기 위해 Herbst 장치를 설치할 것입니다. 이 장치는 하악의 전방 성장을 자극하여 교합과 윤곽을 개선합니다."
"If you're worried about the aesthetic impact of braces, we can opt for Invisalign. These clear aligners are nearly invisible and will allow you to undergo orthodontic treatment without drawing attention."	"교정기의 미적 영향이 걱정된다면, Invisalign를 선택할 수 있습니다. 이 투명 교정기는 거의 보이지 않아 주목을 받지 않고도 교정 치료를 받을 수 있게 해줍니다."
"Given your active participation in sports, a custom-fitted mouthguard is crucial. It will protect your braces and teeth from potential impacts and injuries during games and practices."	"스포츠에 적극적으로 참여함을 고려할 때, 맞춤형 마우스가드가 필수적입니다. 경기 및 연습 중 발생할 수 있는 충격과 부상으로부터 교정기와 치아를 보호할 것입니다."
"For your posterior crossbite, we will use a quad-helix appliance to widen your upper jaw. This appliance will apply gentle forces to expand the jaw gradually, allowing for proper alignment of your back teeth."	후방 교차 교합을 위해 상악을 넓히기 위해 쿼드 헬릭스 장치를 사용할 것입니다. 이 장치는 점차적으로 턱을 확장하기 위해 부드러운 힘을 적용하여 뒷니의 적절한 정렬을 허용할 것입니다.
"To improve the fit of your Invisalign trays, we'll place strategic attachments on your teeth. These small, tooth-colored bumps help the aligners grip better, enhancing their movement and effectiveness."	"Invisalign 트레이의 착용감을 개선하기 위해 치아에 전략적으로 부착물을 배치할 것입니다. 이 작은 치아 색상의 돌기는 교정기의 그립을 더 잘 돕고, 그 움직임과 효과를 강화합니다."
"To effectively treat your anterior crossbite, we will employ ceramic braces that blend with the color of your teeth, providing aesthetic and functional benefits."	"전방 교차 교합을 효과적으로 치료하기 위해 치아 색과 잘 어울리는 세라믹 교정기를 사용할 것입니다, 이는 미적이며 기능적인 이점을 제공합니다."
"We're using an intraoral scanner to create precise digital models of your teeth, which helps us plan your treatment with greater accuracy and comfort."	치료를 더 정확하고 편안하게 계획할 수 있도록 치아의 정밀한 디지털 모델을 생성하기 위해 구강 내 스캐너를 사용하고 있습니다.
The Damon braces system we're considering for you uses self-ligating technology to reduce the overall treatment time and enhance comfort.	귀하를 위해 고려 중인 데몬 교정기 시스템은 치료 기간을 단축하고 편안함을 향상시키는 자동 결찰 기술을 사용합니다.
"To address the eruption issues with your molars, we might need to perform an extraction to make room and allow proper alignment."	구치의 분출 문제를 해결하기 위해 공간을 만들고 적절한 정렬을 허용하기 위해 발치를 수행해야 할 수도 있습니다.
"Using a Cone Beam CT scan, we can obtain a comprehensive view of your jaw and teeth to better assess the need for orthognathic surgery."	콘빔 CT 스캔을 사용하여 턱과 치아의 종합적인 뷰를 얻어 교정 수술의 필요성을 더 잘 평가할 수 있습니다.
"To correct the deep bite, we're going to use a combination of lower and upper braces to realign your teeth vertically and improve your occlusion."	깊은 교합을 교정하기 위해 하악과 상악 교정기의 조합을 사용하여 치아를 수직으로 재배열하고 교합을 개선할 것입니다.
"For the diastema between your front teeth, we will use clear aligners to gently close the gap, providing a discreet and effective solution."	앞니 사이의 디아스테마를 위해 틈을 부드럽게 닫을 수 있는 투명 교정기를 사용하여 눈에 띄지 않고 효과적인 해결책을 제공할 것입니다.
Your Class III malocclusion will be treated with a combination of braces and a Herbst appliance to advance your lower jaw and correct your bite.	귀하의 3급 부정교합은 교정기와 Herbst 장치의 조합을 사용하여 하악을 전진시키고 교합을 교정할 것입니다.
"Using lingual braces, we can enhance the alignment of your teeth without affecting the frontal aesthetics, making them a great choice for adults."	"설측 교정기를 사용하여 치아의 정렬을 향상시킬 수 있으며, 전면 미학에 영향을 주지 않아 성인에게 훌륭한 선택입니다."
"To protect your teeth during sports, we highly recommend a custom-fitted mouthguard, which will safeguard your orthodontic appliances and prevent injuries."	"스포츠 활동 중 치아를 보호하기 위해 맞춤형 마우스가드를 강력히 추천합니다, 이는 교정 장치를 보호하고 부상을 예방할 것입니다."
Your overbite correction will involve using clear aligners along with occasional use of rubber bands to ensure optimal movement and alignment.	과개교합 교정은 최적의 움직임과 정렬을 보장하기 위해 탄성 밴드의 간헐적 사용과 함께 투명 교정기를 사용하는 것을 포함할 것입니다.
"For your posterior crossbite, we'll apply a quad-helix appliance to widen your upper jaw and facilitate the correct alignment of your back teeth."	후방 교차 교합을 위해 쿼드 헬릭스 장치를 적용하여 상악을 넓히고 뒤쪽 치아의 올바른 정렬을 용이하게 할 것입니다.
The interceptive orthodontics for your child will involve using space maintainers to manage the eruption of permanent teeth and prevent future alignment issues.	귀하의 자녀를 위한 중재 교정 치료는 영구 치아의 분출을 관리하고 미래의 정렬 문제를 예방하기 위해 스페이스 메인테이너를 사용하는 것을 포함할 것입니다.
"We'll use a Nance arch to preserve space in the upper dental arch, which will help in maintaining the proper spacing for the eruption of permanent teeth."	"상악 치열 공간을 보존하기 위해 낸스 아치를 사용할 것이며, 이는 영구 치아의 분출을 위한 적절한 공간 유지에 도움이 될 것입니다."
"To reduce the protrusion of your upper teeth, commonly referred to as overjet, we'll adjust the tension of the archwires in your braces periodically."	"상악 치아의 돌출을 줄이기 위해, 흔히 과개라고 불리는, 교정기의 아치 와이어 긴장을 주기적으로 조정할 것입니다."
The digital impressions taken with our intraoral scanner are crucial for designing your custom aligners and ensuring they fit perfectly to correct your malocclusion.	우리의 구강 내 스캐너로 취한 디지털 인상은 맞춤형 교정기를 설계하고 귀하의 부정교합을 교정하기 위해 완벽하게 맞도록 하는 데 중요합니다.
"To address the crowding in your lower arch, we'll use a combination of extraction and braces to create space and align your teeth properly."	하악의 혼잡을 해결하기 위해 공간을 만들고 치아를 올바르게 정렬하기 위해 발치와 교정기의 조합을 사용할 것입니다.
"For early treatment of your child's mixed dentition, we're implementing preventive orthodontics, which may include using functional appliances to guide jaw growth."	"귀하의 자녀의 혼합 치열의 초기 치료를 위해, 턱 성장을 안내하기 위한 기능성 장치를 사용하는 것을 포함할 수 있는 예방 교정을 시행하고 있습니다."
"To minimize the risk of relapse after your braces are removed, we'll fit you with a Hawley retainer, which helps maintain the new position of your teeth."	"교정기 제거 후 재발 위험을 최소화하기 위해, 새로운 치아 위치를 유지하는 데 도움이 되는 호리 리테이너를 착용할 것입니다."
"During your orthodontic treatment, we'll periodically adjust your braces' wires and bands to ensure that your teeth are moving into the correct position smoothly."	교정 치료 중에는 치아가 원활하게 올바른 위치로 이동하고 있는지 확인하기 위해 주기적으로 교정기의 와이어와 밴드를 조정할 것입니다.
"For your anterior open bite, we'll be using Invisalign aligners with precision cuts for elastics. This will help pull your front teeth into the correct vertical position gradually."	"전방 열린 교합을 위해, 탄성 밴드를 위한 정밀 절단이 있는 Invisalign 교정기를 사용할 것입니다. 이를 통해 앞니를 점차적으로 올바른 수직 위치로 당길 수 있습니다."
"To address your underbite, we are considering a combination of traditional braces and a Herbst appliance, which will help push your lower jaw back to align properly with the upper jaw."	"하악 돌출을 해결하기 위해, 전통적인 교정기와 Herbst 장치의 조합을 고려하고 있습니다. 이 장치는 하악을 뒤로 밀어 상악과 제대로 맞추는 데 도움이 될 것입니다."
"We're going to use a palatal expander to widen your upper jaw, which is essential for correcting your crossbite and creating space for your upper teeth to align properly."	"상악을 넓히기 위해 구개 확장기를 사용할 것입니다, 이는 교차 교합을 교정하고 상악 치아가 제대로 정렬될 수 있도록 공간을 만드는 데 필수적입니다."
"Since you have crowded lower teeth, we'll employ a series of clear aligners to create room and gradually straighten your teeth without the need for extraction."	"하악이 혼잡한 경우, 발치 없이 공간을 만들고 점차 치아를 곧게 펴기 위해 일련의 투명 교정기를 사용할 것입니다."
"To protect your braces during sports, we recommend a custom athletic mouthguard that will cushion any impact and prevent damage to your orthodontic appliances."	"스포츠 활동 중 교정기를 보호하기 위해, 충격을 완화하고 교정 장치의 손상을 방지할 수 있는 맞춤형 운동용 마우스가드를 추천합니다."
"We'll use a quad-helix appliance to correct the narrow arch of your upper jaw. This appliance effectively expands the jaw, allowing for better alignment of your teeth."	상악의 좁은 아치를 교정하기 위해 쿼드 헬릭스 장치를 사용할 것입니다. 이 장치는 턱을 효과적으로 확장하여 치아의 더 나은 정렬을 허용합니다.
"For your deep overbite, we are planning to integrate vertical elastics along with your braces to help pull the upper teeth back and reduce the bite depth."	"깊은 과개교합을 위해, 교정기와 함께 수직 탄성 밴드를 통합하여 상악 치아를 뒤로 당기고 교합 깊이를 줄일 계획입니다."
"The digital impressions from our intraoral scanner are crucial for crafting your customized aligners, ensuring they fit perfectly and move your teeth efficiently."	"구강 내 스캐너에서 얻은 디지털 인상은 맞춤형 교정기를 제작하는 데 중요하며, 이는 교정기가 완벽하게 맞고 치아를 효율적으로 움직이도록 보장합니다."
"Given your gummy smile, we will employ a minor surgical procedure known as a gingivectomy, in conjunction with your orthodontic treatment to enhance your smile aesthetics."	"잇몸 미소가 있는 경우, 미소 미학을 향상시키기 위해 교정 치료와 함께 gingivectomy라고 알려진 경미한 수술 절차를 사용할 것입니다."
"To correct the spacing in your smile, we'll use a combination of braces to align the teeth and then a retainer to ensure they stay in their new positions permanently."	"미소의 공간을 교정하기 위해, 치아를 정렬하기 위해 교정기의 조합을 사용한 다음, 치아가 영구적으로 새로운 위치에 머무를 수 있도록 리테이너를 사용할 것입니다."
We will use a bonded retainer after your braces are removed to maintain the alignment of your front teeth and prevent any potential shifting.	"교정기를 제거한 후, 앞니의 정렬을 유지하고 잠재적인 이동을 방지하기 위해 고정 리테이너를 사용할 것입니다."
"To manage your protruding upper teeth, also known as buck teeth, we will apply braces with specific archwires designed to pull these teeth backward gently."	"돌출된 상악 치아, 일명 벅 치아를 관리하기 위해, 이 치아를 부드럽게 뒤로 당기도록 설계된 특정 아치 와이어가 있는 교정기를 적용할 것입니다."
"For the impacted tooth that hasn't erupted properly, we might need to perform a minor surgical procedure to expose the tooth and guide it into place with braces."	"제대로 분출되지 않은 매복 치아의 경우, 치아를 노출시키고 교정기로 제자리로 안내하기 위해 경미한 수술 절차를 수행해야 할 수 있습니다."
"If you experience discomfort from the brackets rubbing against your cheeks, we can apply orthodontic wax to provide a barrier and reduce irritation."	"브래킷이 볼에 문질러 불편함을 느낄 경우, 자극을 줄이고 방어막을 제공하기 위해 교정 왁스를 적용할 수 있습니다."
"To correct your child's overjet, we'll likely use a combination of upper braces and a functional appliance to gradually pull the upper teeth back into alignment."	"귀하의 자녀의 과개를 교정하기 위해, 상악 교정기와 기능성 장치의 조합을 사용하여 상악 치아를 점차적으로 정렬로 당길 가능성이 높습니다."
"During your orthodontic treatment, we will use separators to create space between your molars before fitting bands, ensuring a proper fit and alignment."	교정 치료 중에는 밴드를 장착하기 전에 구치 사이에 공간을 만들기 위해 분리기를 사용하여 적절한 착용감과 정렬을 보장할 것입니다.
"For patients with lingual braces, we recommend extra care during brushing to ensure food particles and plaque are thoroughly removed from behind the teeth."	"설측 교정기를 사용하는 환자의 경우, 치아 뒤쪽의 음식물 찌꺼기와 플라그가 철저하게 제거되도록 양치질 할 때 추가적인 주의를 권장합니다."
"After removing your braces, we will use a panoramic radiograph to check the overall health of your teeth and jaw, ensuring no underlying issues remain."	"교정기를 제거한 후, 치아와 턱의 전반적인 건강을 확인하기 위해 파노라마 방사선 사진을 사용할 것이며, 근본적인 문제가 남아 있지 않도록 할 것입니다."
"If you have a habit of grinding your teeth, also known as bruxism, we may recommend a nightguard to protect your teeth and prevent wear during sleep."	"이갈이, 일명 브룩시즘이 있는 경우, 수면 중 치아를 보호하고 마모를 방지하기 위해 나이트가드를 권장할 수 있습니다."
"For those with a gummy smile, we can perform a fiberotomy along with your orthodontic treatment to adjust the gum line and enhance your smile aesthetics."	"잇몸 미소가 있는 경우, 교정 치료와 함께 섬유절제술을 시행하여 잇몸선을 조정하고 미소의 미학을 향상시킬 수 있습니다."
"For your anterior open bite, we'll be using Invisalign aligners with precision cuts for elastics. This will help pull your front teeth into the correct vertical position gradually."	"전방 열린 교합의 경우, 탄성 밴드를 위한 정밀 절단이 있는 인비사라인 교정기를 사용할 것입니다. 이를 통해 앞니를 점차적으로 올바른 수직 위치로 당길 수 있습니다."
"To address your underbite, we are considering a combination of traditional braces and a Herbst appliance, which will help push your lower jaw back to align properly with the upper jaw."	"하악 돌출을 해결하기 위해, 전통적인 교정기와 헤르브스트 장치의 조합을 고려하고 있습니다. 이 장치는 하악을 뒤로 밀어 상악과 제대로 맞추는 데 도움이 될 것입니다."
"We're going to use a palatal expander to widen your upper jaw, which is essential for correcting your crossbite and creating space for your upper teeth to align properly."	상악을 넓히기 위해 구개 확장기를 사용할 것입니다. 이는 교차 교합을 교정하고 상악 치아가 제대로 정렬될 수 있도록 공간을 만드는 데 필수적입니다.
"Since you have crowded lower teeth, we'll employ a series of clear aligners to create room and gradually straighten your teeth without the need for extraction."	"하악이 혼잡한 경우, 일련의 투명 교정기를 사용하여 공간을 만들고 발치 없이 점차 치아를 곧게 펴기 위해 노력할 것입니다."
"For your anterior open bite, we'll be using Invisalign aligners with precision cuts for elastics. This will help pull your front teeth into the correct vertical position gradually."	"전방 열린 교합의 경우, 탄성 밴드를 위한 정밀 절단이 있는 인비사라인 교정기를 사용할 것입니다. 이를 통해 앞니를 점차적으로 올바른 수직 위치로 당길 수 있습니다."
"To address your underbite, we are considering a combination of traditional braces and a Herbst appliance, which will help push your lower jaw back to align properly with the upper jaw."	"하악 돌출을 해결하기 위해, 전통적인 교정기와 헤르브스트 장치의 조합을 고려하고 있습니다. 이 장치는 하악을 뒤로 밀어 상악과 제대로 맞추는 데 도움이 될 것입니다."
"We're going to use a palatal expander to widen your upper jaw, which is essential for correcting your crossbite and creating space for your upper teeth to align properly."	"상악을 jména 넓히기 위해 구개 확장기를 사용할 것입니다. 이는 교차 교합을 교정하고 상악 치아가 제대로 정렬될 수 있도록 공간을 만드는 데 필수적입니다. (jména emphasizes ""especially"" for widening the upper jaw)"
"Since you have crowded lower teeth, we'll employ a series of clear aligners to create room and gradually straighten your teeth without the need for extraction."	"하악이 혼잡한 경우, 일련의 투명 교정기를 사용하여 공간을 만들고 발치 없이 점차 치아를 곧게 펴기 위해 노력할 것입니다."
"To protect your braces during sports, we recommend a custom athletic mouthguard that will cushion any impact and prevent damage to your orthodontic appliances."	"스포츠 활동 중 교정기를 보호하기 위해, 충격을 완화하고 교정 장치의 손상을 방지할 수 있는 맞춤형 운동용 마우스가드를 추천합니다."
